Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
39-6012.00,Concierges,96,7,65,56.0
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",96,3,73,57.33
43-4031.01,Court Clerks,96,13,62,57.0
13-2071.00,Credit Counselors,96,8,48,50.67
43-4051.00,Customer Service Representatives,96,5,58,53.0
41-9011.00,Demonstrators and Product Promoters,96,0,67,54.33
29-2032.00,Diagnostic Medical Sonographers,96,87,95,92.67
29-1062.00,Family and General Practitioners,96,100,91,95.67
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,96,26,95,72.33
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,96,4,43,47.67
41-1011.00,First-Line Supervisors of Retail Sales Workers,96,10,66,57.33
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",96,32,92,73.33
49-9031.00,Home Appliance Repairers,96,12,67,58.33
33-3021.05,Immigration and Customs Inspectors,96,63,80,79.67
25-9031.00,Instructional Coordinators,96,16,55,55.67
43-4031.03,License Clerks,96,14,70,60.0
11-9199.08,Loss Prevention Managers,96,16,58,56.67
21-1013.00,Marriage and Family Therapists,96,30,58,61.33
31-9092.00,Medical Assistants,96,83,88,89.0
29-2033.00,Nuclear Medicine Technologists,96,93,86,91.67
31-2012.00,Occupational Therapy Aides,96,97,91,94.67
29-1022.00,Oral and Maxillofacial Surgeons,96,99,99,98.0
43-4151.00,Order Clerks,96,3,56,51.67
31-9095.00,Pharmacy Aides,96,78,82,85.33
31-9097.00,Phlebotomists,96,88,76,86.67
33-3021.01,Police Detectives,96,58,71,75.0
29-2099.06,Radiologic Technicians,96,91,96,94.33
29-1126.00,Respiratory Therapists,96,98,93,95.67
11-2022.00,Sales Managers,96,3,48,49.0
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",96,11,79,62.0
29-1127.00,Speech-Language Pathologists,96,52,79,75.67
43-5081.01,"Stock Clerks, Sales Floor",96,20,84,66.67
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",96,10,58,54.67
29-1199.01,Acupuncturists,95,85,91,90.33
29-1141.01,Acute Care Nurses,95,100,95,96.67
41-3011.00,Advertising Sales Agents,95,3,55,51.0
29-1061.00,Anesthesiologists,95,90,94,93.0
39-5011.00,Barbers,95,59,95,83.0
13-1021.00,"Buyers and Purchasing Agents, Farm Products",95,2,51,49.33
11-1011.00,Chief Executives,95,18,43,52.0
21-2011.00,Clergy,95,40,55,63.33
43-4041.01,Credit Authorizers,95,1,55,50.33
21-2021.00,"Directors, Religious Activities and Education",95,13,48,52.0
25-2021.00,"Elementary School Teachers, Except Special Education",95,46,79,73.33
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",95,19,69,61.0
35-3041.00,"Food Servers, Nonrestaurant",95,39,72,68.67
33-2022.00,Forest Fire Inspectors and Prevention Specialists,95,36,54,61.67
11-1021.00,General and Operations Managers,95,14,55,54.67
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",95,16,79,63.33
13-1041.02,Licensing Examiners and Inspectors,95,51,70,72.0
43-4031.02,Municipal Clerks,95,6,44,48.33
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,95,71,76,80.67
29-1161.00,Nurse Midwives,95,89,97,93.67
29-1122.00,Occupational Therapists,95,92,95,94.0
29-2081.00,"Opticians, Dispensing",95,40,83,72.67
29-2052.00,Pharmacy Technicians,95,72,83,83.33
25-2011.00,"Preschool Teachers, Except Special Education",95,52,76,74.33
19-1031.02,Range Managers,95,16,43,51.33
39-9032.00,Recreation Workers,95,37,72,68.0
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",95,3,52,50.0
33-3051.03,Sheriffs and Deputy Sheriffs,95,77,79,83.67
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",95,5,57,52.33
49-9052.00,Telecommunications Line Installers and Repairers,95,34,64,64.33
35-3031.00,Waiters and Waitresses,95,16,78,63.0
39-9011.00,Childcare Workers,94,45,82,73.67
13-1031.01,"Claims Examiners, Property and Casualty Insurance",94,3,56,51.0
11-9121.01,Clinical Research Coordinators,94,34,46,58.0
27-2022.00,Coaches and Scouts,94,9,74,59.0
43-9011.00,Computer Operators,94,7,42,47.67
33-3021.03,Criminal Investigators and Special Agents,94,54,68,72.0
27-2031.00,Dancers,94,21,98,71.0
29-1021.00,"Dentists, General",94,95,99,96.0
43-4061.00,"Eligibility Interviewers, Government Programs",94,30,56,60.0
29-1128.00,Exercise Physiologists,94,55,93,80.67
27-1022.00,Fashion Designers,94,0,48,47.33
51-9071.06,Gem and Diamond Workers,94,0,42,45.33
13-1041.04,Government Property Inspectors and Investigators,94,25,52,57.0
25-1071.00,"Health Specialties Teachers, Postsecondary",94,29,54,59.0
25-1192.00,"Home Economics Teachers, Postsecondary",94,10,47,50.33
29-1069.03,Hospitalists,94,99,92,95.0
13-1071.00,Human Resources Specialists,94,5,41,46.67
23-1023.00,"Judges, Magistrate Judges, and Magistrates",94,34,52,60.0
13-2071.01,Loan Counselors,94,7,40,47.0
13-2072.00,Loan Officers,94,4,42,46.67
21-1023.00,Mental Health and Substance Abuse Social Workers,94,39,50,61.0
21-1014.00,Mental Health Counselors,94,36,58,62.67
29-9099.01,Midwives,94,73,94,87.0
47-5042.00,Mine Cutting and Channeling Machine Operators,94,1,53,49.33
39-4031.00,"Morticians, Undertakers, and Funeral Directors",94,79,72,81.67
29-2099.01,Neurodiagnostic Technologists,94,81,94,89.67
39-2021.00,Nonfarm Animal Caretakers,94,64,66,74.67
29-1065.00,"Pediatricians, General",94,92,89,91.67
27-2012.01,Producers,94,2,64,53.33
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",94,18,59,57.0
33-9099.02,Retail Loss Prevention Specialists,94,12,73,59.67
47-2031.02,Rough Carpenters,94,5,79,59.33
25-3021.00,Self-Enrichment Education Teachers,94,8,76,59.33
29-1067.00,Surgeons,94,86,97,92.33
29-2099.07,Surgical Assistants,94,87,97,92.67
27-2011.00,Actors,93,5,95,64.33
53-2021.00,Air Traffic Controllers,93,7,82,60.67
33-9011.00,Animal Control Workers,93,79,54,75.33
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",93,17,74,61.33
33-3011.00,Bailiffs,93,40,80,71.0
35-3011.00,Bartenders,93,4,79,58.67
51-8099.01,Biofuels Processing Technicians,93,5,49,49.0
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",93,4,68,55.0
35-1011.00,Chefs and Head Cooks,93,15,81,63.0
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",93,7,74,58.0
15-1152.00,Computer Network Support Specialists,93,13,55,53.67
35-2015.00,"Cooks, Short Order",93,7,66,55.33
43-4021.00,Correspondence Clerks,93,3,43,46.33
29-1141.03,Critical Care Nurses,93,99,94,95.33
13-1199.03,Customs Brokers,93,1,54,49.33
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,93,15,82,63.33
11-9032.00,"Education Administrators, Elementary and Secondary School",93,21,52,55.33
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",93,16,88,65.67
43-6011.00,Executive Secretaries and Executive Administrative Assistants,93,8,39,46.67
11-3031.02,"Financial Managers, Branch or Department",93,4,53,50.0
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,93,9,47,49.67
45-4011.00,Forest and Conservation Workers,93,17,67,59.0
43-5011.01,Freight Forwarders,93,1,60,51.33
21-1091.00,Health Educators,93,50,64,69.0
41-3021.00,Insurance Sales Agents,93,10,61,54.67
29-1063.00,"Internists, General",93,100,89,94.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",93,13,64,56.67
53-5022.00,Motorboat Operators,93,8,79,60.0
29-1151.00,Nurse Anesthetists,93,96,87,92.0
43-9061.00,"Office Clerks, General",93,28,64,61.67
29-2099.05,Ophthalmic Medical Technologists,93,83,94,90.0
43-5061.00,"Production, Planning, and Expediting Clerks",93,3,52,49.33
43-9081.00,Proofreaders and Copy Markers,93,0,53,48.67
53-7072.00,"Pump Operators, Except Wellhead Pumpers",93,6,52,50.33
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",93,3,51,49.0
29-1125.00,Recreational Therapists,93,77,84,84.67
49-9021.02,Refrigeration Mechanics and Installers,93,19,56,56.0
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",93,17,70,60.0
39-1012.00,Slot Supervisors,93,42,80,71.67
41-4011.07,Solar Sales Representatives and Assessors,93,6,47,48.67
33-3052.00,Transit and Railroad Police,93,56,79,76.0
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",93,10,71,58.0
29-1069.12,Urologists,93,96,99,96.0
29-1131.00,Veterinarians,93,89,91,91.0
11-2011.00,Advertising and Promotions Managers,92,1,46,46.33
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",92,72,90,84.67
29-1125.01,Art Therapists,92,40,73,68.33
29-1181.00,Audiologists,92,68,67,75.67
35-3022.01,Baristas,92,8,75,58.33
25-2032.00,"Career/Technical Education Teachers, Secondary School",92,31,77,66.67
53-2012.00,Commercial Pilots,92,25,81,66.0
11-9199.02,Compliance Managers,92,13,54,53.0
11-9021.00,Construction Managers,92,4,50,48.67
19-3031.03,Counseling Psychologists,92,38,47,59.0
43-5021.00,Couriers and Messengers,92,73,45,70.0
29-2051.00,Dietetic Technicians,92,61,65,72.67
53-3031.00,Driver/Sales Workers,92,11,77,60.0
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,92,35,41,56.0
33-3031.00,Fish and Game Wardens,92,31,76,66.33
11-9061.00,Funeral Service Managers,92,56,60,69.33
21-1022.00,Healthcare Social Workers,92,88,76,85.33
11-3051.00,Industrial Production Managers,92,5,55,50.67
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",92,3,43,46.0
23-1011.00,Lawyers,92,14,34,46.67
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",92,38,56,62.0
53-3033.00,Light Truck or Delivery Services Drivers,92,13,67,57.33
