Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
47-2152.01,Pipe Fitters and Steamfitters,87,21,73,60.33
29-1066.00,Psychiatrists,87,70,67,74.67
47-5071.00,"Roustabouts, Oil and Gas",87,6,89,60.67
43-5071.00,"Shipping, Receiving, and Traffic Clerks",87,4,46,45.67
53-4041.00,Subway and Streetcar Operators,87,43,67,65.67
53-7121.00,"Tank Car, Truck, and Ship Loaders",87,3,62,50.67
39-7011.00,Tour Guides and Escorts,87,19,72,59.33
15-1199.11,Video Game Designers,87,0,51,46.0
25-9011.00,Audio-Visual and Multimedia Collections Specialists,86,5,59,50.0
51-3011.00,Bakers,86,7,55,49.33
15-1111.00,Computer and Information Research Scientists,86,0,33,39.67
47-5041.00,Continuous Mining Machine Operators,86,6,59,50.33
15-1141.00,Database Administrators,86,4,52,47.33
31-9099.02,Endoscopy Technicians,86,87,83,85.33
25-1123.00,"English Language and Literature Teachers, Postsecondary",86,9,50,48.33
17-3025.00,Environmental Engineering Technicians,86,17,47,50.0
13-1041.03,Equal Opportunity Representatives and Officers,86,3,41,43.33
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",86,3,55,48.0
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,86,47,51,61.33
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",86,3,61,50.0
43-9041.02,Insurance Policy Processing Clerks,86,0,52,46.0
17-2141.00,Mechanical Engineers,86,7,58,50.33
17-2199.05,Mechatronics Engineers,86,1,61,49.33
29-2012.00,Medical and Clinical Laboratory Technicians,86,77,65,76.0
11-9013.01,Nursery and Greenhouse Managers,86,4,63,51.0
29-9012.00,Occupational Health and Safety Technicians,86,29,55,56.67
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,86,3,53,47.33
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",86,3,61,50.0
49-2021.01,Radio Mechanics,86,5,63,51.33
47-2171.00,Reinforcing Iron and Rebar Workers,86,13,71,56.67
33-9032.00,Security Guards,86,16,68,56.67
51-6041.00,Shoe and Leather Workers and Repairers,86,3,55,48.0
53-3041.00,Taxi Drivers and Chauffeurs,86,25,79,63.33
41-3041.00,Travel Agents,86,0,55,47.0
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",86,1,58,48.33
49-3023.01,Automotive Master Mechanics,85,8,53,48.67
39-6011.00,Baggage Porters and Bellhops,85,10,78,57.67
49-3091.00,Bicycle Repairers,85,0,65,50.0
25-1042.00,"Biological Science Teachers, Postsecondary",85,30,47,54.0
11-1011.03,Chief Sustainability Officers,85,3,48,45.33
19-4061.01,City and Regional Planning Aides,85,0,46,43.67
27-1021.00,Commercial and Industrial Designers,85,0,49,44.67
53-7032.00,Excavating and Loading Machine and Dragline Operators,85,5,40,43.33
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",85,4,66,51.67
19-1012.00,Food Scientists and Technologists,85,29,52,55.33
19-4093.00,Forest and Conservation Technicians,85,15,68,56.0
47-2121.00,Glaziers,85,18,69,57.33
11-3051.06,Hydroelectric Production Managers,85,8,50,47.67
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",85,4,65,51.33
33-3021.06,Intelligence Analysts,85,2,49,45.33
29-2035.00,Magnetic Resonance Imaging Technologists,85,84,76,81.67
31-9011.00,Massage Therapists,85,35,89,69.67
49-9011.00,Mechanical Door Repairers,85,7,73,55.0
19-4051.02,Nuclear Monitoring Technicians,85,9,70,54.67
29-1171.00,Nurse Practitioners,85,87,85,85.67
51-9111.00,Packaging and Filling Machine Operators and Tenders,85,4,59,49.33
13-2052.00,Personal Financial Advisors,85,2,37,41.33
37-2021.00,Pest Control Workers,85,26,47,52.67
25-1054.00,"Physics Teachers, Postsecondary",85,7,44,45.33
29-1069.09,Preventive Medicine Physicians,85,61,55,67.0
27-3012.00,Public Address System and Other Announcers,85,2,71,52.67
49-9096.00,Riggers,85,15,77,59.0
53-5011.00,Sailors and Marine Oilers,85,19,69,57.67
19-3031.01,School Psychologists,85,17,56,52.67
27-1027.00,Set and Exhibit Designers,85,1,53,46.33
27-2042.01,Singers,85,29,94,69.33
47-1011.03,Solar Energy Installation Managers,85,9,78,57.33
47-2022.00,Stonemasons,85,6,80,57.0
11-3071.02,Storage and Distribution Managers,85,2,52,46.33
47-2221.00,Structural Iron and Steel Workers,85,10,87,60.67
15-1143.01,Telecommunications Engineering Specialists,85,3,52,46.67
17-2081.01,Water/Wastewater Engineers,85,23,40,49.33
47-4099.03,Weatherization Installers and Technicians,85,20,68,57.67
19-4011.01,Agricultural Technicians,84,15,56,51.67
19-1011.00,Animal Scientists,84,32,46,54.0
17-1011.00,"Architects, Except Landscape and Naval",84,2,53,46.33
19-1020.01,Biologists,84,8,51,47.67
51-8099.03,Biomass Plant Technicians,84,5,57,48.67
51-8091.00,Chemical Plant and System Operators,84,8,64,52.0
47-2031.01,Construction Carpenters,84,13,81,59.33
17-3029.03,Electromechanical Engineering Technologists,84,6,66,52.0
13-1199.01,Energy Auditors,84,11,59,51.33
17-2199.03,Energy Engineers,84,10,41,45.0
17-2081.00,Environmental Engineers,84,13,47,48.0
47-4031.00,Fence Erectors,84,9,74,55.67
39-9031.00,Fitness Trainers and Aerobics Instructors,84,22,83,63.0
33-1021.02,Forest Fire Fighting and Prevention Supervisors,84,23,73,60.0
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",84,6,32,40.67
25-1064.00,"Geography Teachers, Postsecondary",84,11,43,46.0
49-9021.01,Heating and Air Conditioning Mechanics and Installers,84,15,66,55.0
47-3012.00,Helpers--Carpenters,84,12,77,57.67
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",84,15,68,55.67
31-1011.00,Home Health Aides,84,63,84,77.0
17-2112.00,Industrial Engineers,84,2,55,47.0
43-9041.01,Insurance Claims Clerks,84,1,46,43.67
25-1082.00,"Library Science Teachers, Postsecondary",84,2,44,43.33
13-1081.01,Logistics Engineers,84,0,49,44.33
47-2141.00,"Painters, Construction and Maintenance",84,4,64,50.67
17-2199.07,Photonics Engineers,84,1,47,44.0
31-1013.00,Psychiatric Aides,84,91,89,88.0
25-1066.00,"Psychology Teachers, Postsecondary",84,14,40,46.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",84,0,37,40.33
17-2072.01,Radio Frequency Identification Device Specialists,84,6,45,45.0
53-4021.00,"Railroad Brake, Signal, and Switch Operators",84,15,41,46.67
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",84,1,59,48.0
47-5012.00,"Rotary Drill Operators, Oil and Gas",84,7,80,57.0
13-1199.02,Security Management Specialists,84,11,51,48.67
25-2059.01,Adapted Physical Education Specialists,83,56,90,76.33
11-9013.03,Aquacultural Managers,83,5,51,46.33
13-2021.01,Assessors,83,0,58,47.0
27-2021.00,Athletes and Sports Competitors,83,6,59,49.33
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,83,9,53,48.33
47-2041.00,Carpet Installers,83,14,59,52.0
25-1052.00,"Chemistry Teachers, Postsecondary",83,7,37,42.33
25-4012.00,Curators,83,5,44,44.0
17-3024.00,Electro-Mechanical Technicians,83,12,62,52.33
41-3099.01,Energy Brokers,83,9,52,48.0
13-2051.00,Financial Analysts,83,0,47,43.33
13-2061.00,Financial Examiners,83,1,57,47.0
45-1011.06,First-Line Supervisors of Aquacultural Workers,83,14,66,54.33
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",83,1,65,49.67
39-4021.00,Funeral Attendants,83,54,79,72.0
47-3013.00,Helpers--Electricians,83,12,67,54.0
47-5081.00,Helpers--Extraction Workers,83,4,80,55.67
49-9041.00,Industrial Machinery Mechanics,83,15,72,56.67
17-2111.01,Industrial Safety and Health Engineers,83,19,53,51.67
15-1122.00,Information Security Analysts,83,1,52,45.33
13-1081.02,Logistics Analysts,83,7,51,47.0
49-9071.00,"Maintenance and Repair Workers, General",83,44,69,65.33
17-2121.02,Marine Architects,83,3,58,48.0
25-1022.00,"Mathematical Science Teachers, Postsecondary",83,15,58,52.0
49-9044.00,Millwrights,83,30,77,63.33
49-3051.00,Motorboat Mechanics and Service Technicians,83,18,64,55.0
19-4051.01,Nuclear Equipment Operation Technicians,83,14,72,56.33
43-5081.04,"Order Fillers, Wholesale and Retail Sales",83,15,63,53.67
19-1031.03,Park Naturalists,83,17,73,57.67
39-9021.00,Personal Care Aides,83,62,86,77.0
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",83,3,46,44.0
33-9021.00,Private Detectives and Investigators,83,8,51,47.33
11-9199.01,Regulatory Affairs Managers,83,5,43,43.67
21-1015.00,Rehabilitation Counselors,83,26,60,56.33
25-1113.00,"Social Work Teachers, Postsecondary",83,12,34,43.0
19-1031.01,Soil and Water Conservationists,83,6,53,47.33
19-3051.00,Urban and Regional Planners,83,6,54,47.67
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,82,19,80,60.33
29-1071.01,Anesthesiologist Assistants,82,97,88,89.0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",82,23,48,51.0
25-1031.00,"Architecture Teachers, Postsecondary",82,6,76,54.67
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",82,30,57,56.33
17-2141.02,Automotive Engineers,82,0,52,44.67
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,82,9,62,51.0
13-1199.04,Business Continuity Planners,82,1,49,44.0
19-2041.01,Climate Change Analysts,82,0,38,40.0
53-7031.00,Dredge Operators,82,1,27,36.67
49-9051.00,Electrical Power-Line Installers and Repairers,82,10,73,55.0
25-1053.00,"Environmental Science Teachers, Postsecondary",82,20,49,50.33
19-4041.01,Geophysical Data Technicians,82,0,44,42.0
17-3029.05,Industrial Engineering Technologists,82,11,49,47.33
19-3032.00,Industrial-Organizational Psychologists,82,1,40,41.0
15-1121.01,Informatics Nurse Specialists,82,47,60,63.0
17-1012.00,Landscape Architects,82,0,47,43.0
25-4021.00,Librarians,82,29,52,54.33
49-9043.00,"Maintenance Workers, Machinery",82,11,73,55.33
13-1111.00,Management Analysts,82,2,41,41.67
53-5021.02,"Mates- Ship, Boat, and Barge",82,10,74,55.33
51-9082.00,Medical Appliance Technicians,82,48,71,67.0
19-1042.00,"Medical Scientists, Except Epidemiologists",82,33,43,52.67
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",82,15,48,48.33
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,82,50,71,67.67
43-3051.00,Payroll and Timekeeping Clerks,82,7,37,42.0
51-9151.00,Photographic Process Workers and Processing Machine Operators,82,41,58,60.33
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",82,23,76,60.33
47-2211.00,Sheet Metal Workers,82,10,67,53.0
27-4014.00,Sound Engineering Technicians,82,7,69,52.67
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",82,12,63,52.33
11-3031.01,Treasurers and Controllers,82,7,35,41.33
17-2011.00,Aerospace Engineers,81,0,50,43.67
39-2011.00,Animal Trainers,81,18,62,53.67
19-2031.00,Chemists,81,23,57,53.67
17-3011.02,Civil Drafters,81,1,49,43.67
15-2041.02,Clinical Data Managers,81,6,48,45.0
13-1051.00,Cost Estimators,81,2,44,42.33
43-9021.00,Data Entry Keyers,81,11,57,49.67
43-9031.00,Desktop Publishers,81,2,45,42.67
25-1063.00,"Economics Teachers, Postsecondary",81,11,53,48.33
25-1032.00,"Engineering Teachers, Postsecondary",81,9,33,41.0
19-2041.00,"Environmental Scientists and Specialists, Including Health",81,6,40,42.33
27-4032.00,Film and Video Editors,81,2,49,44.0
35-2021.00,Food Preparation Workers,81,6,69,52.0
47-4051.00,Highway Maintenance Workers,81,26,68,58.33
53-7051.00,Industrial Truck and Tractor Operators,81,4,34,39.67
11-9199.03,Investment Fund Managers,81,0,41,40.67
17-2199.04,Manufacturing Engineers,81,6,56,47.67
13-1161.00,Market Research Analysts and Marketing Specialists,81,0,36,39.0
51-7031.00,"Model Makers, Wood",81,15,51,49.0
17-2111.03,Product Safety Engineers,81,7,47,45.0
29-1069.10,Radiologists,81,85,63,76.33
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",81,21,80,60.67
49-9097.00,Signal and Track Switch Repairers,81,8,73,54.0
39-5094.00,Skincare Specialists,81,36,99,72.0
25-1067.00,"Sociology Teachers, Postsecondary",81,9,46,45.33
51-2092.00,Team Assemblers,81,0,66,49.0
17-2051.01,Transportation Engineers,81,5,48,44.67
19-3099.01,Transportation Planners,81,0,42,41.0
37-3013.00,Tree Trimmers and Pruners,81,1,59,47.0
19-1023.00,Zoologists and Wildlife Biologists,81,19,39,46.33
19-3091.01,Anthropologists,80,18,55,51.0
23-1022.00,"Arbitrators, Mediators, and Conciliators",80,3,64,49.0
11-9041.00,Architectural and Engineering Managers,80,3,43,42.0
17-3027.01,Automotive Engineering Technicians,80,3,63,48.67
27-4012.00,Broadcast Technicians,80,3,51,44.67
15-1199.08,Business Intelligence Analysts,80,2,39,40.33
17-1021.00,Cartographers and Photogrammetrists,80,0,54,44.67
15-1121.00,Computer Systems Analysts,80,5,48,44.33
17-3023.03,Electrical Engineering Technicians,80,2,60,47.33
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,80,6,40,42.0
49-9099.01,Geothermal Technicians,80,7,50,45.67
53-4012.00,Locomotive Firers,80,10,45,45.0
17-3029.01,Non-Destructive Testing Specialists,80,4,60,48.0
29-1069.05,Nuclear Medicine Physicians,80,81,69,76.67
29-9011.00,Occupational Health and Safety Specialists,80,18,65,54.33
13-1041.07,Regulatory Affairs Specialists,80,1,55,45.33
51-2041.00,Structural Metal Fabricators and Fitters,80,6,60,48.67
13-1199.05,Sustainability Specialists,80,1,47,42.67
13-2082.00,Tax Preparers,80,4,55,46.33
51-2093.00,Timing Device Assemblers and Adjusters,80,0,45,41.67
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",79,14,40,44.33
17-2199.01,Biochemical Engineers,79,18,49,48.67
19-4021.00,Biological Technicians,79,39,51,56.33
47-2011.00,Boilermakers,79,15,69,54.33
51-9011.00,Chemical Equipment Operators and Tenders,79,15,51,48.33
15-1131.00,Computer Programmers,79,0,39,39.33
15-1199.12,Document Management Specialists,79,2,49,43.33
51-2031.00,Engine and Other Machine Assemblers,79,0,69,49.33
19-4091.00,"Environmental Science and Protection Technicians, Including Health",79,26,51,52.0
49-3041.00,Farm Equipment Mechanics and Service Technicians,79,20,53,50.67
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",79,45,67,63.67
19-3093.00,Historians,79,7,56,47.33
51-8099.04,Hydroelectric Plant Technicians,79,25,77,60.33
17-3029.09,Manufacturing Production Technicians,79,8,57,48.0
41-9012.00,Models,79,1,64,48.0
11-9121.00,Natural Sciences Managers,79,4,40,41.0
53-7064.00,"Packers and Packagers, Hand",79,5,70,51.33
47-2152.02,Plumbers,79,58,60,65.67
15-1199.01,Software Quality Assurance Engineers and Testers,79,0,47,42.0
47-2044.00,Tile and Marble Setters,79,12,64,51.67
53-6061.00,"Transportation Attendants, Except Flight Attendants",79,27,93,66.33
27-2023.00,"Umpires, Referees, and Other Sports Officials",79,11,71,53.67
13-2021.02,"Appraisers, Real Estate",78,3,34,38.33
25-1011.00,"Business Teachers, Postsecondary",78,3,48,43.0
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",78,7,58,47.67
15-1199.02,Computer Systems Engineers/Architects,78,4,46,42.67
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",78,5,63,48.67
33-9091.00,Crossing Guards,78,18,78,58.0
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",78,1,35,38.0
15-1199.06,Database Architects,78,1,46,41.67
17-3012.02,Electrical Drafters,78,1,49,42.67
17-2071.00,Electrical Engineers,78,1,48,42.33
17-3012.01,Electronic Drafters,78,1,47,42.0
17-3029.04,Electronics Engineering Technologists,78,7,49,44.67
19-2041.02,Environmental Restoration Planners,78,1,51,43.33
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",78,38,64,60.0
45-4022.00,Logging Equipment Operators,78,0,14,30.67
49-3052.00,Motorcycle Mechanics,78,0,43,40.33
27-4021.00,Photographers,78,4,68,50.0
47-2161.00,Plasterers and Stucco Masons,78,6,61,48.33
25-1065.00,"Political Science Teachers, Postsecondary",78,5,44,42.33
19-4099.02,Precision Agriculture Technicians,78,3,48,43.0
51-5111.00,Prepress Technicians and Workers,78,0,56,44.67
51-5112.00,Printing Press Operators,78,0,42,40.0
17-1022.00,Surveyors,78,9,48,45.0
27-3042.00,Technical Writers,78,0,42,40.0
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,78,0,46,41.33
17-2199.02,Validation Engineers,78,5,59,47.33
51-8031.00,Water and Wastewater Treatment Plant and System Operators,78,27,50,51.67
53-7073.00,Wellhead Pumpers,78,6,19,34.33
19-3091.02,Archeologists,77,11,63,50.33
49-2091.00,Avionics Technicians,77,3,66,48.67
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,77,3,46,42.0
19-4031.00,Chemical Technicians,77,8,58,47.67
17-2051.00,Civil Engineers,77,4,45,42.0
47-4011.00,Construction and Building Inspectors,77,11,64,50.67
47-4021.00,Elevator Installers and Repairers,77,50,64,63.67
11-9013.02,Farm and Ranch Managers,77,5,53,45.0
13-2099.04,"Fraud Examiners, Investigators and Analysts",77,5,52,44.67
53-7071.00,Gas Compressor and Gas Pumping Station Operators,77,4,66,49.0
25-1125.00,"History Teachers, Postsecondary",77,8,36,40.33
53-7041.00,Hoist and Winch Operators,77,0,58,45.0
27-1014.00,Multimedia Artists and Animators,77,0,53,43.33
43-9071.00,"Office Machine Operators, Except Computer",77,4,56,45.67
47-2073.00,Operating Engineers and Other Construction Equipment Operators,77,2,57,45.33
19-2012.00,Physicists,77,5,47,43.0
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",77,2,58,45.67
19-3022.00,Survey Researchers,77,0,40,39.0
17-3021.00,Aerospace Engineering and Operations Technicians,76,0,52,42.67
17-2021.00,Agricultural Engineers,76,5,45,42.0
17-2031.00,Biomedical Engineers,76,32,49,52.33
51-7011.00,Cabinetmakers and Bench Carpenters,76,0,55,43.67
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",76,4,54,44.67
51-2023.00,Electromechanical Equipment Assemblers,76,7,59,47.33
17-2072.00,"Electronics Engineers, Except Computer",76,3,51,43.33
19-1041.00,Epidemiologists,76,23,38,45.67
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",76,17,66,53.0
51-2091.00,Fiberglass Laminators and Fabricators,76,3,83,54.0
51-3092.00,Food Batchmakers,76,4,56,45.33
19-4011.02,Food Science Technicians,76,12,57,48.33
17-1022.01,Geodetic Surveyors,76,5,40,40.33
27-1024.00,Graphic Designers,76,0,34,36.67
25-4031.00,Library Technicians,76,16,62,51.33
17-3029.06,Manufacturing Engineering Technologists,76,1,52,43.0
29-1069.07,Pathologists,76,76,32,61.33
51-9199.01,Recycling and Reclamation Workers,76,23,58,52.33
19-4099.03,Remote Sensing Technicians,76,0,48,41.33
47-4099.02,Solar Thermal Installers and Technicians,76,2,60,46.0
43-9111.00,Statistical Assistants,76,7,45,42.67
17-3031.01,Surveying Technicians,76,11,50,45.67
49-3023.02,Automotive Specialty Technicians,75,5,55,45.0
23-2091.00,Court Reporters,75,13,61,49.67
29-2011.01,Cytogenetic Technologists,75,83,63,73.67
47-5021.00,"Earth Drillers, Except Oil and Gas",75,8,42,41.67
17-3023.01,Electronics Engineering Technicians,75,7,54,45.33
17-2111.02,Fire-Prevention and Protection Engineers,75,11,45,43.67
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",75,12,52,46.33
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",75,3,61,46.33
25-9031.01,Instructional Designers and Technologists,75,1,48,41.33
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",75,3,70,49.33
17-3031.02,Mapping Technicians,75,2,57,44.67
51-9195.07,Molding and Casting Workers,75,4,61,46.67
49-9063.00,Musical Instrument Repairers and Tuners,75,7,48,43.33
17-2161.00,Nuclear Engineers,75,1,46,40.67
49-3043.00,Rail Car Repairers,75,3,65,47.67
15-1133.00,"Software Developers, Systems Software",75,0,45,40.0
11-9199.10,Wind Energy Project Managers,75,1,44,40.0
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",74,9,60,47.67
25-4011.00,Archivists,74,2,44,40.0
47-2051.00,Cement Masons and Concrete Finishers,74,5,86,55.0
17-2041.00,Chemical Engineers,74,11,45,43.33
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",74,16,74,54.67
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",74,13,72,53.0
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",74,6,35,38.33
19-4092.00,Forensic Science Technicians,74,66,68,69.33
51-8092.00,Gas Plant Operators,74,17,54,48.33
19-3092.00,Geographers,74,4,47,41.67
47-4041.00,Hazardous Materials Removal Workers,74,18,67,53.0
29-2011.03,Histotechnologists and Histologic Technicians,74,75,63,70.67
51-4041.00,Machinists,74,4,52,43.33
49-9062.00,Medical Equipment Repairers,74,33,52,53.0
29-2071.00,Medical Records and Health Information Technicians,74,24,50,49.33
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",74,7,48,43.0
17-3029.12,Nanotechnology Engineering Technicians,74,6,64,48.0
17-3029.11,Nanotechnology Engineering Technologists,74,6,48,42.67
17-2199.08,Robotics Engineers,74,0,55,43.0
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",74,6,57,45.67
47-2231.00,Solar Photovoltaic Installers,74,2,68,48.0
11-9121.02,Water Resource Specialists,74,11,43,42.67
53-6051.01,Aviation Inspectors,73,2,54,43.0
47-2021.00,Brickmasons and Blockmasons,73,4,83,53.33
53-6011.00,Bridge and Lock Tenders,73,7,28,36.0
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",73,26,60,53.0
45-3011.00,Fishers and Related Fishing Workers,73,22,70,55.0
19-1032.00,Foresters,73,3,41,39.0
19-1029.03,Geneticists,73,38,45,52.0
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,73,7,42,40.67
19-2043.00,Hydrologists,73,6,39,39.33
17-2199.06,Microsystems Engineers,73,6,44,41.0
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",73,3,68,48.0
39-9011.01,Nannies,73,35,68,58.67
33-3041.00,Parking Enforcement Workers,73,10,37,40.0
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",73,3,59,45.0
19-3094.00,Political Scientists,73,7,31,37.0
17-3024.01,Robotics Technicians,73,13,54,46.67
51-3023.00,Slaughterers and Meat Packers,73,18,73,54.67
27-4011.00,Audio and Video Equipment Technicians,72,5,60,45.67
43-9111.01,Bioinformatics Technicians,72,11,59,47.33
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",72,1,51,41.33
17-2112.01,Human Factors Engineers and Ergonomists,72,5,49,42.0
53-7063.00,Machine Feeders and Offbearers,72,2,47,40.33
19-1022.00,Microbiologists,72,82,61,71.67
17-2199.09,Nanosystems Engineers,72,12,50,44.67
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",72,5,55,44.0
49-3092.00,Recreational Vehicle Service Technicians,72,31,53,52.0
15-1134.00,Web Developers,72,1,44,39.0
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",71,1,57,43.0
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,71,0,49,40.0
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,71,7,43,40.33
15-1199.05,Geographic Information Systems Technicians,71,6,46,41.0
51-9198.00,Helpers--Production Workers,71,1,54,42.0
17-2121.01,Marine Engineers,71,3,56,43.33
17-2131.00,Materials Engineers,71,2,45,39.33
19-2032.00,Materials Scientists,71,2,46,39.67
47-2142.00,Paperhangers,71,11,44,42.0
19-3041.00,Sociologists,71,7,40,39.33
53-6041.00,Traffic Technicians,71,0,48,39.67
17-3029.02,Electrical Engineering Technologists,70,3,51,41.33
13-1041.01,Environmental Compliance Inspectors,70,17,57,48.0
17-2141.01,Fuel Cell Engineers,70,0,42,37.33
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",70,47,48,55.0
45-4023.00,Log Graders and Scalers,70,1,48,39.67
43-5052.00,Postal Service Mail Carriers,70,8,57,45.0
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",70,5,63,46.0
15-1132.00,"Software Developers, Applications",70,0,50,40.0
17-2199.11,Solar Energy Systems Engineers,70,4,50,41.33
15-2041.00,Statisticians,70,3,36,36.33
17-3011.01,Architectural Drafters,69,6,47,40.67
19-2021.00,Atmospheric and Space Scientists,69,1,46,38.67
15-2041.01,Biostatisticians,69,2,33,34.67
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",69,6,57,44.0
51-4071.00,Foundry Mold and Coremakers,69,8,69,48.67
19-2041.03,Industrial Ecologists,69,0,40,36.33
51-4192.00,"Layout Workers, Metal and Plastic",69,13,57,46.33
49-9095.00,Manufactured Building and Mobile Home Installers,69,1,73,47.67
43-5041.00,"Meter Readers, Utilities",69,27,37,44.33
25-4013.00,Museum Technicians and Conservators,69,0,55,41.33
51-9123.00,"Painting, Coating, and Decorating Workers",69,1,58,42.67
19-1021.00,Biochemists and Biophysicists,68,24,41,44.33
19-1029.01,Bioinformatics Scientists,68,15,34,39.0
15-1143.00,Computer Network Architects,68,0,39,35.67
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",68,2,58,42.67
17-3013.00,Mechanical Drafters,68,0,50,39.33
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",68,13,58,46.33
19-2099.01,Remote Sensing Scientists and Technologists,68,0,40,36.0
15-1199.10,Search Marketing Strategists,68,0,44,37.33
51-9141.00,Semiconductor Processors,68,0,60,42.67
19-1013.00,Soil and Plant Scientists,68,5,41,38.0
45-2091.00,Agricultural Equipment Operators,67,4,39,36.67
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",67,13,32,37.33
35-2014.00,"Cooks, Restaurant",67,10,81,52.67
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",67,2,48,39.0
47-2081.00,Drywall and Ceiling Tile Installers,67,6,61,44.67
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",67,3,58,42.67
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",67,7,40,38.0
53-7111.00,Mine Shuttle Car Operators,67,7,49,41.0
39-3021.00,Motion Picture Projectionists,67,2,37,35.33
15-2031.00,Operations Research Analysts,67,3,41,37.0
19-4061.00,Social Science Research Assistants,67,0,47,38.0
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",67,5,64,45.33
49-9064.00,Watch Repairers,67,1,66,44.67
51-4121.06,"Welders, Cutters, and Welder Fitters",67,1,46,38.0
17-2199.10,Wind Energy Engineers,67,1,38,35.33
15-2011.00,Actuaries,66,0,35,33.67
51-2021.00,"Coil Winders, Tapers, and Finishers",66,2,58,42.0
51-9081.00,Dental Laboratory Technicians,66,72,53,63.67
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",66,14,61,47.0
